,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
hsa-miR-133b,0.013375686868661408,0.01016682359289727,-0.03693630662524591,0.028258169805105957,-0.9360858980649746,0.041779227970559656,0.013510285123506474,0.006487385178608593,0.1529031734204048,0.004918244993395975,0.028873746331850948,-0.007835650078481495,0.003770447858849359
hsa-miR-134-5p,0.09969738707076824,0.002180524896073197,0.07807863070460853,-0.021585424241828504,0.6795591398508019,0.0009561332436181913,-0.08485025236311913,-0.0023272571996685817,0.042656703889679105,-0.1322628584629347,-0.0116838900981877,-0.03861971760235686,0.0038018519805741655
hsa-miR-135a-5p,-0.008034812622835726,-0.032668973839691376,-0.0010021500385719905,-0.02336391130261509,0.9694068423125147,-0.022420749547365806,-0.05260481214949801,0.012758554953228933,-0.02965276003714139,-0.03814382829808314,-0.00012127072462557166,0.003771474645578528,0.052695815775931756
hsa-miR-135b-5p,-0.034252285944564496,-0.125242566826195,0.008931712378049537,-0.013683298479400328,0.8571446393851616,-0.05730496509222808,-0.1695992793503912,0.00970958416601721,-0.012479510431777604,-0.05925639235339742,0.003880920053393681,-0.03560273276659116,0.11766201242269557
hsa-miR-136-3p,0.06916063090219192,-0.05606333221480909,0.007087494448440786,-0.03306457340088902,0.5053911507103632,0.005009536922536626,-0.003992035821231438,-0.03188829136676491,0.03175473893334905,-0.08259864864759162,-0.015589426206794434,-0.047513545047054975,0.061791550284918256
hsa-miR-138-5p,-0.005075587442646312,-0.0015740253543191625,-0.07178105825812856,0.20929636497525536,-0.46005714256485025,0.011698127076774003,0.08378774926451252,0.006063118572526566,0.22068629221239208,0.009921684379843476,0.008495822739939643,0.013399729145027484,0.017186040050645886
hsa-miR-139-5p,0.23590088516297852,-0.26085397059315435,0.021687722028583115,0.2554748761074112,-7.555505226499943e-05,0.02716501643322365,0.04868056347392611,-0.01229476817720881,0.004343952090066451,0.002554837182639139,-0.011523800346541359,0.026409686133245475,0.021573162814159524
hsa-miR-140-3p,0.1623169464596919,0.005481672527037087,-0.008970200433065113,0.41119618674754105,-0.8044488944587741,0.009974012470762366,-0.040974366645164226,-0.010503332436983821,0.24940691073303795,0.0030061556187804916,0.0505388431099105,-0.05883054851394911,-0.04131044977079898
hsa-miR-140-5p,0.06595690376571701,-0.0647804432856387,0.09621756861466549,0.1125483641605572,0.6375360791808188,-0.013732132774352175,-0.1041155054245893,-0.009278593047314885,-0.03847445667188792,-0.030444080016804518,-0.005845886273723359,0.0005048216551839553,0.025484139043621453
hsa-miR-141-3p,0.0006774144588377201,-0.209487520421121,0.002945734323339393,-0.1574239867436653,0.8156488580323589,-0.08202812983717266,-0.14663290942003146,0.006486841465536621,-0.03140138126916401,-0.0433645993051959,-0.00018948622639361256,-0.0062402119927591594,0.010490897056116257
hsa-miR-142-5p,0.01952324675416845,-0.051869261055958196,0.13968430907422627,0.20359386307586452,0.9362752220709084,-0.004969905750848724,-0.03179547900744763,0.01064340227786981,-0.02043191714031267,-0.02669384320449085,0.005290420236589559,-0.020931454891146523,0.026540509450671892
hsa-miR-143-3p,0.058647202906763965,0.02365280070261853,-0.020322732598047195,-0.007817799352735544,0.9254771304721221,0.009458481486056748,-0.08649434374211801,0.002218517208919208,-0.04331823954826168,-0.025792448588604553,0.007037566877363142,0.005468950362119615,0.03371897655245548
hsa-miR-143-5p,0.013906475550839799,0.005621682847746904,0.03431077653439987,0.005259181333172511,0.8662033576883477,-0.0021220438564755672,-0.048736623727493045,-0.01481294767731412,0.05141686614553192,-0.0849058363505729,-0.004295358282890777,-0.009385326398131362,0.022194747603426414
hsa-miR-144-5p,0.06117658250257849,0.013150759101973514,0.16245784057745707,0.24272970718732867,0.2949195511990502,0.04816582920491011,-0.007466220701827538,-0.0258637281688259,-0.0739025640431483,-1.2495039947121445e-05,-0.0005988363951095868,-0.04164725002723399,0.020331287845020495
hsa-miR-145-3p,0.030626197177827608,-6.242352383065181e-06,0.0031248957627878562,-0.00933229976284367,1.0209643988384118,-0.0009061479224214807,-0.035367880635182085,0.008176256613484076,-0.07124366127903531,-0.026398940740867093,0.01897633575121692,-0.009212231247701002,0.023787272271942786
hsa-miR-145-5p,0.047143256483126984,0.008646651926088413,0.004178149809792024,0.006520070233559294,0.9821196018841494,0.010511400486907008,-0.05741736582286869,-0.0032346575994494247,0.015082776236423984,-0.044887101284871306,0.009804416776847487,-0.003931567594875244,0.03351966118101202
hsa-miR-146a-5p,0.1220356470469381,-0.038416619472118184,0.044470810597420425,0.5115940893373361,0.5466443627302707,0.00016712249292507534,-0.15590159816080654,0.003897746703894908,-0.019250347921628764,-0.02781975385226205,-0.020992005289186242,0.002996309154135073,-0.10865099237702722
hsa-miR-146b-3p,-0.001071083320472253,-0.002575698845228211,0.3070427222391106,0.03314620940589577,0.4162916901306031,0.008727227040262386,-0.0048327081430321545,0.008089492490691132,-0.07499141689860159,-0.015205334795606306,-0.03880541392386941,0.047314207576161296,-0.11376584140754138
hsa-miR-146b-5p,0.005311203645569584,-0.014438435111366313,0.20149408312207304,0.03677794105488712,0.9677798624407806,-0.003114822757013585,-0.02004148952729923,-0.0017343626319444338,-0.036056417073288764,-0.04030755220522019,-0.0354208141190244,0.0019096263767597987,-0.020473620841231725
hsa-miR-148a-3p,0.1185079235818672,-0.3024208429917091,0.07888936562449658,-0.18983455108521913,0.73035868469919,-0.03345323588551779,-0.0049454309301735664,-0.0055009440726964025,-0.021812004294102197,-0.05448618133822773,-0.017143845169299406,-0.010235739902192568,0.0473450168943129
hsa-miR-148a-5p,0.0599750094929515,-0.25489803521341714,0.020435302241339843,-0.19363840999848592,0.6474392652512989,-0.014989000162771006,0.008403028838582668,-0.004909928822501465,-0.06484458147618728,-0.0036853904847506396,-0.0317149532872314,-0.010589390294080119,0.09673083289021278
hsa-miR-148b-3p,-0.00218666210696022,-0.085643761785529,0.08673561914476315,-0.001744892283267828,0.9597522765910786,0.00982335655373724,-0.02603630475003383,-0.0007645675505907422,-0.019783723477219725,-0.025312448422077524,-0.01217273067750867,-0.00812289872885263,0.013986395002794924
hsa-miR-149-5p,0.05123186115127368,0.09911831610953149,-0.08844451240877926,-0.02232504223036705,0.5321813577818694,0.004379533476205831,0.007488357054483301,0.02308260242170126,-0.05260150267249898,0.11699524470649857,-0.029360564801493287,-0.035696223219960264,0.023192068880951978
hsa-miR-150-5p,0.20449606693046019,-0.12002199574075198,0.03233809032491715,0.406541011088998,0.696891419832224,0.0019035005789199235,-0.06298395986887814,0.03754918365870893,-0.10385658432764949,-0.015435143122995317,-0.01874012754426981,0.01134232877076443,0.08989917333724015
hsa-miR-151a-3p,0.02139815825144937,-0.0326391956151831,0.009021446316611625,-0.009757575479420594,0.9812977738508727,-0.0026064552830528205,-0.005610565303228858,-0.018154123159833373,-0.00435229343839517,-0.02290351455104055,-0.017250877828901053,-0.011314718254286983,0.02606768521055216
hsa-miR-151a-5p,0.002594209895762376,-0.06647267944119294,0.018304844035269732,-0.018963685911410986,0.9831364865731304,-0.0023132671218835327,-0.01695379142589899,-0.00927612584307684,-0.12666259158830268,-0.01631841219725339,-0.007834619964984506,-0.003847430537693669,0.019891313317886596
hsa-miR-151b,-0.003114374361741813,-0.007877765287737872,-0.10805088252051089,0.002335464423814835,-1.0272597669616006,0.0017201091773726225,0.002036962591339073,-0.00865363540457425,0.028334602334448917,0.06275364710772341,0.02095045413623944,-0.0015084443519894268,-0.027246773405347167
hsa-miR-152-3p,0.10389436651320282,0.11677901118936376,0.0157916743588156,-0.011217907992146727,0.91461678222241,-0.008585480676380533,-0.039715156145341796,0.00030815881990323444,0.020882567680768665,-0.03176086820503014,-0.000894747202305901,-0.02134904004342285,0.049654854268065644
hsa-miR-155-5p,-0.017756739443492337,0.0026425068576408374,0.2242013587289848,0.4734217138591119,-0.7056253117973817,-0.0004997060482632898,0.013129743951598669,-0.02064012354835151,-0.025447345127889202,0.015118950329330824,-0.0025017128175182615,0.013114009533030142,-0.10803804353277463
