,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ABCA9,0.44451136560832694,0.02050927975068561,-0.06567877696325752,0.036770340421576085,-0.014134185576239109,0.00576345366108653,0.032752139551643286,-0.017702021035344292,0.14512793934639606,0.049593339392761344,0.0027475579670247666,0.030369013531842806,0.03516073032275403
ABCA9-AS1,0.028956061725260718,-0.01429910714251534,-0.0022969478502001084,0.04838507830879356,0.008414835996000798,-0.00528580972663301,0.028861917053278056,-0.2662551457255156,-0.000778611081793862,-0.01868310324881652,-0.008234539952478012,-0.17317403046493512,-0.09346531409810882
ABCB1,0.3558210267511499,-0.2916363562453762,-0.1294430373063915,-0.012974617304322323,-0.02202250234674793,0.0792812663968642,-0.023547708505410308,-0.009801354883435035,-0.038828901974415964,0.18925591521867735,0.014621794649173445,0.10026385967952382,-0.04680823990086766
ABCB10,-0.08652774772081814,-0.11616265373604774,-0.11908126745765416,0.047471545111015465,-0.6094704954577137,-0.22292757069331973,-0.28217896087823163,-0.04956652120012132,-0.43322191750586214,-0.16940235369394996,-0.01961569618548637,0.2236879061614265,0.23266568790282283
ABCB11,0.06694209140308706,-0.010461907324889566,0.008151802926509237,0.29625764772864016,0.3068618901352087,0.0016684969549097314,-0.03067138338838535,-0.04601397719322377,1.0482657475309798,0.05962479001367038,-0.020581434714994053,-0.019346298782061507,-0.018517712619367802
ABCB4,0.22631578679989323,0.17869729785803307,-0.19948861535660037,0.03275043315829791,0.05385388639590941,0.011401732679606154,-0.08924406289470435,-0.006066641624767691,-0.09049341148323128,-0.0278249446405208,0.02981837716135274,-0.02796826965732117,0.16410090774834385
ABCB5,0.2003849579424541,0.006677270860989991,0.024510764175623784,0.24502619550328816,0.1551764173850195,0.053490143354134184,-0.00022340397422775405,-0.005993994791959373,0.8392750183666524,0.009631317277465737,-0.011744199068207393,0.029384143246379158,0.07470276833532999
ABCB6,-0.13404349277432534,0.03389292599374132,0.0003500384784072454,-0.2794819953245039,0.2642950068368819,-0.015383965492407867,0.02794933867713748,0.021498138835048725,-0.04642524404554239,0.0984087656666939,0.015873576236035945,-0.34389903108054337,-0.04619218441519064
ABCB7,-0.0024915742672408556,-0.024571198525854834,0.000662872132629574,0.019143175327011985,-0.2615654705606472,-0.0031162194996494663,-0.006225912185383623,0.08049059639758782,0.0877897495754307,0.051760602155270875,0.057801914358429844,-0.021505065747874676,-0.006752859766313125
ABCB8,-0.05880308861726416,-0.01034359269637103,-4.378697604276642e-05,0.0006535472538505014,0.46947602216827694,0.028134962113939663,-0.308102782414206,-0.02375815927060331,-0.03985508939658991,0.027124078719200532,0.04027065986192527,-0.0402220887156495,-0.10904497401106518
ABCB9,-0.16051426814168152,-0.13599510901576647,0.05114931744289275,-0.010222535726644926,0.3181431623864178,0.048848948364061805,0.24938320672619263,0.2344771689776154,-0.1442488406936164,-0.02665303474075008,0.0547347528373367,-0.5827536598569922,0.029005635849340735
ABCC1,-0.23086282450529771,-0.009684562755307777,0.013393379344151309,0.28709601694228654,0.1947750342154204,0.005717835238237816,0.0025678621396615,0.004223267942239505,0.6127303979121022,0.06253964020419725,0.03688091894486382,-0.036667615104772254,-0.019853978244802485
ABCC10,-0.0024317203544923643,-0.1496673098364811,-0.04767929272223847,0.2132753445213159,0.4738371785991765,-0.07316679944509617,-0.004914942826577417,-0.0139925502548629,0.09586357898614056,0.031898836588700706,0.03620349909197578,-0.02183441735832974,-0.197910458215219
ABCC11,-0.011885239468372024,-0.03448236046298624,-0.0047052450810990375,-0.01105042132785288,0.021634683932194206,-0.02400155821715433,0.013059476035076354,0.051730314898820406,-0.014630549459079505,0.13953824683040975,0.016973418615720524,-0.0582628598455295,0.04103556296520945
ABCC12,0.012930698339264083,-0.25617248327622333,0.006786847568855489,-0.2352397772342143,-0.01800654116464067,-0.0009343564404848571,0.08212953756464776,0.0008580945582288803,0.022681046275252522,0.011980411261080915,0.047191607425082174,0.027120873806755163,-0.0504105180659105
