,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ADRA2A,0.23102168920927757,-0.00544299622486738,0.08462191046037267,-0.04695310401568493,0.13575395420336553,0.02334490188134378,-0.0742224976198286,0.007001552527247402,-0.11339950132211143,0.010179705936747682,0.0034442946807601974,-0.0065710455580959,-0.0071218869182785565
ADRM1,-0.010470316067587913,-0.17780571869501233,0.30222606505088095,-0.058573515753124236,0.12483312534579374,0.048233619256968584,-0.009767236413893345,-0.11942124210736589,0.11857281405308422,-0.012352018976255097,-0.007797397464190122,-0.015715190710493668,0.1054351406728697
AEBP1,0.08338741575198372,0.2670068595672087,-0.11050366375259914,-0.1610070762079843,0.13905298645731318,-0.020695434420427497,-0.008759576934026195,-0.03968357295020883,0.03133494280846535,0.011746853635522556,-0.020847431890229327,0.011060074860026279,0.06335057997355648
AEBP2,-0.09934924401500046,-0.023122243615123342,0.28429130706798317,0.03972654962134568,0.019938957464128736,0.04900227883433434,0.020740572019119077,-0.00583794274491532,0.05224906300579741,-0.01217114003863973,0.003377548067430837,-0.04206592936693247,0.061594454238705056
AES,0.22221629935816045,-0.3305383594089897,0.04000055118080568,-0.003501194429512314,0.153096720828589,0.105902207774841,0.04837546200529323,-0.014565901202599563,0.005976668217183936,-0.07614047019360232,0.004540980085079075,-0.0349264835793559,-0.00719906860173569
AFAP1,-0.07113036920126554,0.5519503955283543,-0.2982437566442072,0.007705181683304852,0.003023969009940625,-0.07493697967758142,0.17570977859292303,-0.015499506622574233,-0.020584903002547665,0.010580280105292444,-0.00856877290982895,-0.005927956941954116,-0.03993006229812646
AFAP1L1,0.007087209917448226,0.25028635218304157,-0.11539852264978803,0.059710523016942144,-0.1052048651754397,0.05125366935029957,0.05495288394978357,-0.11117851020985801,0.015217329570386334,0.0019860042433152594,0.0072786352885151106,-0.04402866256537899,0.07877761017996512
AFAP1L2,-0.07949586701266086,0.0662678507339781,-0.21292768698533665,0.012636561120428305,-0.05479429354998388,0.012194211059671545,0.26582638085606497,0.02274295798871114,0.014409688678277957,0.05780034126556357,0.017669057752852307,-0.01580676315139124,0.041056431786072975
AFDN,-0.017911088086643764,-0.1259263132843336,-0.1872919483306108,-0.3224787754903495,-0.171120945550615,-0.12765312956914743,-0.04463070656331217,-0.052806693196602944,-0.035656586865163035,0.04160539842441595,0.0016405936813072793,0.060542038293128264,-0.08292648826813635
AFF1,0.11617289814164193,-0.029605776861889622,-0.3181682704559443,0.06989246355234696,-0.17322232053114447,-0.01219468395096066,0.0257618672046719,-0.03882307311590906,-0.011812720810576256,0.04157811004991898,0.014986017776021281,0.03356625422332404,0.027519961076633917
AFF4,-0.2147928235908152,-0.21011929500194707,-0.00399492171238607,0.29235813304646296,-0.0027038884367612532,-0.03163990408825692,0.01369428904086531,0.09800277268813436,-0.06662148441001978,-0.005964001357294181,0.0044483006493230524,-0.3763620784723107,0.16710885634406267
AFTPH,0.05977847760678752,-0.43393878274835046,-0.11255545207851353,-0.07071509982976953,-0.053252915969236876,-0.014150408028091192,0.2945068948677145,0.06565340096710066,-0.01251094383378745,0.23686378201808758,-0.004400547307795228,0.07678923915590416,0.002659778908040993
AGAP1,-0.0920012184915262,0.2346471652330118,-0.13525782774622677,-0.03261852981294535,-0.06752344721606302,-0.041994869027054606,-0.11873757141411763,0.002436991984772401,-0.03882006215263721,0.048951930911385395,0.02427684363888014,0.02724315316187077,-0.07692361790688353
AGAP2,-0.024804070015481024,0.16505364462820743,-0.0058269692067798645,0.6772539620065173,-0.07734908515552028,0.02873368595095,-0.2849727309981897,0.01456272257222727,0.0027358756844067713,0.09078795133706317,0.01916983819056042,0.08865915680289546,-0.004731048252433649
AGAP3,-0.04381857986434213,-0.0035451211223690416,0.010852404945941545,-0.01679606812234246,-0.017785107095860123,0.06657325970297295,-0.1364313400129268,-0.0053535136478134295,0.013047588601345375,0.007897505092407891,0.002689141194489899,0.05957171101945851,-0.030453503821112917
AGFG1,-0.10211360807245892,0.3705547739538163,-0.24338161972439035,0.0392477983399258,-0.050037354158122674,-0.013327006623419867,-0.23236833503880783,0.021955919443700338,0.007549843297485541,0.02882417690720088,0.01166214646519246,0.03368531341802572,0.005931498746137555
AGFG2,-0.02806607001474007,-0.018914170992869045,-0.25020347578182744,-0.022924098222076604,-0.1347974658820676,0.006061611799196814,-0.03345575443678793,0.05665551890816926,-0.02878223194292034,0.08964100093316438,-0.007628654885447854,0.07276631250061025,-0.1348909689353523
AGO3,-0.051665505482106064,0.32042487981396695,-0.13627100886690677,-0.0009751603960982282,0.030655853491304064,-0.011614354064917133,-0.09359750519957227,0.020006985051850494,0.10991172121285311,0.009983879369380121,0.04059035933218018,0.00029386476455658673,-0.05367610279257872
AGPS,-0.15061033223617418,0.014538303834353375,0.33846391555540256,-0.19775470092982259,0.02132271151433265,-0.024948546540657975,-0.010299774467215911,-0.05556880623639425,0.07243935025058675,-0.007683267846465756,-0.004092201967495951,-0.002598917109866742,-0.053773689088484886
AHCTF1,-0.1579347951548514,-0.30139201829782225,0.4094652736866902,-0.07156378258761231,0.025939571961988442,-0.07311043474990248,-0.018511842782699597,0.05279911033245926,0.08466807462590026,-0.05216739157696027,0.011846745629078668,-0.05951675288311409,0.0487461899436412
AHCYL2,0.1362375518115185,-0.14040347899711142,0.2582364259100617,-0.009114735028788424,0.0130357845862374,0.11173809928841287,-0.24609587499454216,-0.00920464578035643,0.3478273065075021,-0.03511072366701615,0.01970284891985869,0.03237090590149916,-0.008888110264312955
AHDC1,0.2435429820756713,0.007631122215697703,-0.02852416676350034,-0.01775702583932797,-0.012997460603056819,0.02302624562163589,0.1368339677133644,0.04745222251156696,-0.010770822653494576,0.03202397854518331,0.0030036555185355717,0.06032367665897985,-0.03366642038648065
AHNAK,0.10304175141947056,0.3345741648599566,-0.2924804896153608,-0.2878021916907352,0.0983837305036907,0.005998568162366882,-0.03664785721082939,0.027141464454429762,-0.03181231588369813,-0.004750578328358024,-0.0005308371095526326,0.03504795202194409,-0.023039816810990002
AHNAK2,-0.1221072010723767,0.335111490728669,-0.1942549681186957,-0.19131133004936302,0.00045927902957162064,0.051090847436629484,0.088713195990509,0.005809938439063486,-0.025678576816926032,-0.036707151150244755,0.003148127100018259,0.37586430189137154,-0.016318934787382777
AHSG,0.03403269488102477,0.2907371408671258,-0.2018693484126028,0.03172116273638782,0.010519961801607747,-0.015780475547476254,-0.04380140630397962,-0.15604251334557118,0.04580428488055949,-0.07441351643255535,-0.013102726392723231,0.08146882816430213,-0.051382553077226875
AIDA,-0.010734553795619202,0.2536663553566313,-0.4427618426943707,0.20667718990973907,0.007504875793699248,-0.006575084968483062,0.034221284069858283,-0.030829451133560906,0.011956319281204426,-0.007282271748303622,-0.020815415204859748,-0.019563702195347678,0.010810180771097591
AIF1,0.010367597271435967,0.11738473177021913,0.2810917885292182,0.2678983179811253,0.1628183100580245,-0.019954537246741868,-0.025626452905972083,-0.06596805967463593,-0.023935062382735697,0.0020424042525643894,-0.021298926674375915,-0.02333270011700689,-0.09083062787545496
