,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ABCE1,-0.018851097662545325,-0.05120593610048904,-0.046738152604811053,-0.01660075686842108,-0.043528238627069206,0.0698658522901085,0.15663607392553858,0.011554792227371847,0.0014686775338523766,0.004608027254666417,-0.016710097803735936,-0.030508558824131272,0.032929267009165236
ABCF1,-0.03069665640023762,-0.001131309246547821,0.007537787354124925,-0.06384997227152996,-0.08418593376337291,-0.11847184050633443,0.11448635243317319,-0.007603967694255787,-0.011945041098576666,0.01927132504665414,-0.007868431362596585,-0.013329241509273131,0.007195122016215633
ABCF2,-0.18217277312337857,-0.0036443502809869175,0.11210316812665846,0.002815888544826,-0.021225197402934937,0.033687385091188175,-0.019831442532838642,-0.11926252650796795,-0.002519492887262696,0.0294973063303497,-0.0006598351950437355,-0.04663718468371417,0.04217878311385378
ABCF3,-0.12491447809817789,-0.013481434844109675,-0.049715457003130174,0.023166970102871207,-0.18940020354753243,-0.0594669090803871,0.24624570557584438,0.10506021046635781,-0.008998600076097037,0.019582237638407794,0.0020190841579335477,-0.12008282953083094,0.0033558789895639794
ABHD10,0.0051051019864036895,-0.006765239593134169,-0.4920606713539332,0.35506457665759283,-0.035720897909579385,-0.011585229501700493,0.10118036956001214,0.048974130822975345,0.002182407487106421,-0.0023397965496836184,0.013621678127930853,-0.13514916540801175,-0.17736912144576517
ABHD11,-0.10705373140265022,-0.011796044492428222,-0.437566248299079,0.04267598875189262,0.0015123740037587799,0.03595820844676182,0.009580107161299832,0.019272621444963087,-0.011117223445713226,0.00569782285539211,-0.03289096601960561,-0.05198488227816172,-0.10475986159930183
ABHD12,-0.04202040724471539,-0.21588517295692014,0.3877076293145219,-0.2788958644390127,0.028132768435216775,-0.029413275964982923,-0.17063767652127754,0.03827300478588436,-0.0631185346312888,0.33960728316348854,0.008549605398419572,0.0036238392072743112,0.027802063957388542
ABHD14B,0.006412960505303186,0.18114401790057666,-0.5540619873520941,0.36650089620891624,-0.15183254971162286,-0.0015553471920551887,-0.010291839697925385,0.011415411930026776,-0.01467585051941332,-0.012706611532390258,0.01643495118100668,-0.010333088833026435,-0.06515842494545072
ABHD16A,-0.07283353367108686,-0.07549933350181481,0.1563729146073414,-0.028454381079843077,0.003836965710185376,-0.11777833553775695,-0.22176566589046942,0.010523449317538684,-0.0685643807538183,0.06294400762558133,0.011910571211850136,-0.01906082995541608,0.01280348666385148
ABHD17C,-0.12232347317637751,-0.10432926031305602,-0.1033569474571268,-0.06506256421385627,0.03294059275697881,-0.042560546549491866,-0.35402520710033497,0.06076948645938212,-0.006551753251546674,-0.011427041232339452,0.1032004542295048,-0.005729150050852901,0.03319404084374576
ABHD6,-0.007453352313882998,-0.1312393802145117,0.19866528293799812,-0.012382539533816928,0.02939669618190326,0.014090158080304518,-0.05530783405788781,-0.011439001166356318,-0.008004777484752706,0.020476711581040148,-0.0114507442669058,0.05312363823394275,-0.0025149401728066885
ABI1,-0.03210575799978383,0.2744139778246136,-0.37033360414913896,0.3555914693816337,-0.022853146954432364,0.029456514715129313,-0.010504265743155907,0.01773559540819792,0.03158661875667016,0.016941839881629506,0.014292638220547152,0.040688680534059316,0.021248899948146698
ABI2,0.02370797853186957,0.2530385294617646,-0.19406463654761072,0.013019385688461654,-0.07476008273331824,-0.06252992396408633,-0.009893042340130734,0.0954197189064769,0.018818975202260668,-0.030160961882618548,-0.014119500509298616,-0.03518138450285284,0.008154350264504262
ABI3,0.23240468791388869,-0.03516946872951577,-0.0002763056117056982,0.41025302439686073,-0.004591036163545577,0.01207562593085167,0.18857635758069638,-0.0006248155253856133,-0.047899924894709074,0.01325131089225776,-0.016517874208404153,-0.029833694854309988,0.020133755149421183
ABI3BP,0.3473586295753084,-0.01924660435974851,-0.2590723734908967,0.05266260986299167,0.13179535660039118,0.020976427762028658,0.04043693359051348,-0.04073430293598097,0.02060329676938162,0.07916987408462739,0.018656112911543912,0.02366130619624168,-0.00043105934726229105
ABL1,0.16942084000350272,0.012873225549410297,0.25654716530062444,-0.38894518372612236,0.04540784372065748,-0.044817100957829356,0.1479254362396512,-0.026138718569109536,-0.06698111400486707,-0.01611905014939166,0.007596132350108208,-0.06553132899980696,0.09262075041406795
ABL2,-0.017740516554864458,-0.20236307829590766,0.4708461639495286,-0.10501986677662901,-0.025534980326605332,-0.03321034201617948,-0.16118520636370887,-0.03567036234770262,-0.10528124755885442,0.008014516367395563,0.012195852474659026,0.053708304436627066,0.08468864378817181
ABLIM1,0.22005755429690585,-0.20360593879905828,-0.34242851592775964,-0.013699009529909831,-0.03911661493819637,-0.001199546153219105,-0.2366353663561095,-0.0017412961264258301,0.021482793988551598,0.22986893264312208,0.020153044066431716,-0.07850919350339411,-0.019344032434861977
ABLIM2,0.10105237417013817,-0.18471958982100764,-0.0036859036778089604,0.007949575087463918,0.015397251636807439,-0.022601304892318326,-0.2306146202825389,-0.062260499491600375,0.07182028205252781,-0.03939318658209136,0.062482591042162944,0.0020063451261594745,-0.2767878499364182
ABLIM3,-0.007123496994064732,-0.0046451496721909655,-0.04704741295975181,0.0003664688398026186,0.014303410122625274,-0.024433798447297317,0.00679583363844535,-0.02381758555594242,-0.028523854614805312,-0.2692521470363364,0.0030310520563437728,0.040868664294551334,-0.07572555155989356
ABR,0.00698168714248376,0.047164458424410256,-0.035167615410482876,0.049489292125392784,-0.0018281940342687623,0.03512256353699531,0.015165895739639867,-0.11329710062099123,-0.01765078774273632,-0.02595351571886778,-0.00844338403793172,-0.022072094243043554,0.0736445141325435
ABRACL,0.006661057130544396,-0.08731507343042219,-0.07752093822988035,0.03323570380537308,-0.021232357947547097,0.02980147451923887,0.006325074684168893,-0.03828862326394406,-0.04709163969863827,0.08483179814853764,0.00013613604727797136,-0.016633714580402192,0.09335889638522123
ABRAXAS1,-0.005077104807883712,-0.035273692551425734,0.07017379421194646,0.004979739844752577,-0.018114949464559,-0.04106273072899103,0.287118922376103,0.024443994087360258,-0.025814079107713286,0.0034503778221707687,-0.004036510004456742,0.019925404113492355,-0.11827637893251913
ABRAXAS2,0.019489776915933,0.009305577129629889,-0.32668945837504304,0.04168839898276634,-0.0613453655270483,0.12095544923219216,0.0075230473557975144,-0.012199375070980557,-0.14514683698552763,0.11262090693135414,0.025653769310292784,-0.03582744480701776,0.02610854525581676
ACAA1,-0.06972842840622709,0.142272616427284,-0.482733474599187,0.22667180173859675,-0.04991258982947653,0.09703782774206422,0.0343365243423886,-0.02670954022829516,0.016038723493394802,-0.07088263783747466,-0.029106189182937694,0.012595314059615994,-0.08539019636638126
ACAA2,0.09672374909026565,-0.030270949010936545,-0.3972880095693086,0.24278067706401804,-0.04730858736172033,0.2024512405016481,0.07174104254181175,0.004471343147394739,0.004981048763293651,-0.0008541631066139648,-0.05863484797370546,-0.08401634597212049,-0.26398476727013176
ACACA,-0.1942616543505552,0.007039931721760282,0.028611946975519706,0.004737155073824189,-0.018476706462832962,0.01212252844865401,-0.01841744165942509,0.020396635708931538,-0.023000131162469916,0.021549756670188543,0.01849892316855122,-0.09585557178683908,0.012944066549192045
ACACB,0.24150106128326831,-0.050308645439003985,0.005622084952347051,0.10420132200411332,-0.08604166454642469,-0.03899047556794393,0.02477362740126073,0.013106322416890233,0.01654815410145991,-0.01818271587196815,0.01150068346139997,0.035323459559917746,-0.009821697973093606
ACAD10,-0.0024535144334159576,-0.26106104072274355,-0.023924080172881692,-0.09056212676549939,-0.05652088800906139,0.00906572331951821,0.08072453784449439,0.005165968371950265,-0.03785757365197509,0.035789362564342196,-0.0010919969047592482,-0.12800624924674456,-0.041569860152588706
ACAD11,-0.025188917755263142,0.01248379144199316,0.004477446521460442,0.0009053734550086112,0.013208390701429347,0.04537728255815055,-0.02372635944431633,0.026425156019730778,0.04343743215447285,-0.06392484732469857,0.008498665441842973,-0.00588613613392668,-0.008779957405716216
ACAD8,0.1473152101172626,-0.2759530842831392,-0.328963566078027,0.016136391519130537,-0.01855906585709103,0.025659134734527307,-0.022909524452794823,0.1750721814515711,-0.01709357548247071,0.062480105183085916,-0.004545969255060183,-0.0494408314847048,-0.14704279560890018
ACAD9,0.011203952873945617,-0.3168136234588622,0.1838367024375417,-0.14919979164031394,0.061407382866969194,0.0008688660279019231,0.021634772150378068,0.022900958158539958,0.024697789917819585,0.005051327598756526,-0.011745514675209456,-0.24578174232328995,-0.013961967298802965
ACADL,0.1985397320603908,-0.3427949075666374,0.20653649235685656,-0.14735531595994272,-0.16005129073908575,-0.06480448064196939,0.09573719556797675,-0.013870195258656098,0.0795575540539355,-0.034104422552317354,-0.04471191677782168,-0.007152693748449342,0.06790784569222914
ACADM,0.12174380235190008,-0.3391010440672161,-0.0464292668383826,0.05888585770995567,-0.07014458054289589,0.013102496168364725,0.06203523349289688,0.004881308369129107,-0.04107512158495801,0.04419437720058526,-0.019299483545977235,-0.03543734458092019,-0.057921726699550265
ACADS,0.06755226120131791,-0.23954780763956515,-0.2239787455153567,0.23598818442220817,-0.17342453167453198,0.04413979997862722,-0.1384351250097789,-0.027681579124596446,0.005673674649727766,0.0682950884320815,0.02357449448482471,-0.1547377147862191,-0.20863119759738677
ACADSB,0.17575658052147963,-0.28388911201497957,-0.2404525567352558,0.07538338809612986,-0.029813561772532613,0.14825498173725454,-0.05238840577961493,-0.0125027595683681,-0.004786324603405269,-0.019404861387419845,-0.008299525194230087,-0.19753743676794536,-0.05627218635209798
ACADVL,-0.04789300362826892,-0.005148887977009146,-0.20436684581246992,0.2662419683040305,-0.03101800721698652,-0.02747588773666649,-0.04439852027065378,-0.04235252184759273,0.006155203593747011,-0.0024810300621168927,-0.03309497280447609,-0.04268013654463887,-0.036360947360034916
ACAN,0.15361290601138233,-0.0007395227576604506,0.037677374251566434,-0.036764747827798504,0.038968966885466014,-0.007655355306268495,-0.03587317194221067,0.052313181726475325,0.05387083817715241,-0.0005212515282546805,0.020773165461506524,-0.039248638736375054,-0.04449551183734933
ACAP1,0.10210538416192974,0.003517142243112343,0.19054190686144193,0.554313903215836,0.01838453891545091,-0.0027883372781035546,-0.006282662207341466,-0.010531745422411766,-0.18516153649270362,-0.028968855919655277,-0.00914438737328417,0.0019602359730914965,-0.07004860866271338
ACAP2,-0.001714215105018898,0.25527202773644897,0.12569051875317727,0.10070489820248348,0.0011389740586119435,-0.21898492732765723,-0.038646307452621334,0.0910384130893742,-0.04647152374467902,0.06495681493455711,-0.013295554992727115,-0.0014804876639247433,-0.1337947335107129
