,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
IL2RA,-0.0065748366783838896,-0.12644533051332574,0.004839403718327845,0.00480941584196977,-0.04100297839431978,0.4721110620713894,-0.2011502776472036,-0.19139077648147054,-0.02984383914239069,0.047814404353742276,0.023360576968838,-0.056102032651986905,-0.00048610787070202003
RBM17,-0.0065748366783838896,-0.12644533051332574,0.004839403718327845,0.00480941584196977,-0.04100297839431978,0.4721110620713894,-0.2011502776472036,-0.19139077648147054,-0.02984383914239069,0.047814404353742276,0.023360576968838,-0.056102032651986905,-0.00048610787070202003
PFKFB3,-0.007107131403480287,-0.1292558125774335,0.0045962524414491475,0.004968515626659109,-0.040617925072468565,0.48191011553394536,-0.212156497372796,-0.20508031573242494,-0.027968554252714346,0.04780649306812766,0.02724824549761257,-0.06215163843691268,-0.0006356757131046251
PRKCQ,-0.02909397512747169,-0.15775622964409877,-0.004039114667926233,0.006747448385166227,-0.03516969581594434,0.5897310051637683,-0.2800679491328045,-0.23261903122668295,-0.013843124197178236,0.04209901383744286,0.03111877119348914,-0.10610724723526423,-0.020134228850710388
SFMBT2,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
ITIH5,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
ITIH2,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
KIN,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
ATP5F1C,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
TAF3,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
